URL,TITLE,MAIN BODY
https://www.ndtv.com/india-news/three-bodies-found-in-agra-home-police-suspect-suicide-over-debt-of-rs-1-5-crore-5036163,"Three Bodies Found In Agra Home, Police Suspect Suicide Over Debt Of Rs 1.5 Crore","In a shocking incident, three members of a family were found dead at their home in Agra, cops said. While the circumstances around the deaths are still unknown, police suspect that the family may have committed suicide. The incident came to light when Tarun alias Jolly, a piper trader, was found hanging when the domestic help arrived for her routine work today morning. She immediately informed the neighbours, who called the police. When cops arrived at the house, they also found the bodies of Tarun's mother and his 12-year-old son in another room.  According to reports, the police found a video from the businessman's mobile which was recorded just before his death, in which he has explained the grim motives behind the incident. PromotedListen to the latest songs, only on JioSaavn.com In the video recorded months ago, Jolly said that he had incurred a substantial business loss, amounting to approximately Rs 1.5 crore. Plagued by mounting debts, the trader decided to take a drastic step.  Track Latest News Live on NDTV.com and get news updates from India  and around the world.  Watch Live News: Follow Us: ................................ Advertisement ................................"
https://www.ndtv.com/india-news/guitar-singing-bonfire-at-tejashwi-yadavs-residence-before-trust-vote-in-bihar-5036045,"Watch: Songs, Bonfire At Tejashwi Yadav's Bihar Home Ahead Of Trust Vote","RJD MLAs are putting up at the bungalow of Tejashwi Yadav ahead of trust vote Ahead of the key trust vote in Bihar, the Rashtriya Janata Dal (RJD) leaders were on Saturday seen singing and playing guitar at Tejashwi Yadav's residence in Patna. In a video going viral on social media platforms, the RJD lawmakers, including Tejashwi Yadav, were seen sitting around a bonfire and singing one of Pakistani singer Nusrat Fateh Ali Khan's songs. RJD MLAs Chetan Anand, Yusuf Salahuddin, Aniruddh Kumar Yadav, and Mukesh Kumar Yadav were also in attendance.    All RJD legislators are putting up at the 5, Deshratna Marg bungalow of Tejashwi Yadav until Monday when they will vote against the ruling NDA during the trust vote. Nitish Kumar last month took oath as the chief minister of Bihar for the record ninth time after ditching the 'mahagathbandhan' and forming a new government with the BJP-led NDA. In the 243-member state assembly, the NDA has a combined strength of 128, six more than the number required for a majority. PromotedListen to the latest songs, only on JioSaavn.com The 'mahagathbandhan', which includes RJD, Congress, CPI(ML), CPI and CPI(M), has 114 members. The newly formed NDA government is seeking the trust vote on February 12, when the assembly's budget session commences. Track Latest News Live on NDTV.com and get news updates from India  and around the world.  Watch Live News: Follow Us: ................................ Advertisement ................................"
https://www.ndtv.com/india-news/ayodhya-ram-temple-this-ayodhya-bank-has-no-cash-has-unique-requirement-to-open-account-5036006,"This Ayodhya Bank Has No Cash, Has Unique Requirement To Open Account","The unique bank is witnessing heavy footfall since the Ram temple consecration event  There is a unique bank here where money does not matter and the only return its 35,000 account-holders get is peace of mind, faith and spirituality! Catching the attention of devotees and tourists visiting the newly constructed Ram temple is ""International Shree Sitaram Bank"". The deposits here are booklets with ""Sitaram"" scribbled on all pages. The spiritual bank, which was set up in November 1970 by Mahant Nritya Gopal Das, the chief of the Shri Ramjanmabhoomi Teertha Kshetra Trust, has over 35,000 account-holders in India and abroad including the US, the UK, Canada, Nepal, Fiji, the UAE and other countries.  The bank has a collection of 20,000 crore 'Sitaram' booklets from the devotees of Lord Ram. According to Punit Ram Das Maharaj, the manager of the bank, the number of daily visitors at the bank has increased after the consecration ceremony of the grand temple last month. ""The bank provides free booklets and red pens to devotees and keeps track of each account. One has to write 'Sitaram' at least 5 lakh times to get an account opened in the bank and then a passbook is issued. ""There are 136 branches of the bank across India and even abroad. The account holders also send us the booklets by post and we maintain the ledger here,"" Puneet Ram Das told PTI. He said the visitors also question the benefits of writing Sitaram and depositing it into bank. ""I tell them that the way we visit temples of gods and goddesses for inner peace, faith and virtue, in the same way, writing 'Sitaram' and depositing the same into the bank is a form of a prayer. Don't we say that God has his own account of everyone's good and bad deeds? This is something similar. ""The devotees find solace and profound spiritual enrichment in writing, chanting and reminiscing Lord Ram's name,"" he added. Puneet Ram Das explained that it is believed that by writing the name 84 lakh times, one can attain 'Moksha'. Jeetu Nagar, from Gaya in Bihar, who has been visiting the bank for 14 years, said this is his only form of prayers. ""Instead of praying at a temple, I practise this and it has always worked for me whenever I have felt low or have been in trouble. I write it throughout the year and deposit at the bank once a year. There is an option to send by post too, but I prefer to visit myself,"" he said. Nagar said he has already deposited booklets with a name count of 1.37 crore. Suman Das, another account holder from Bareily in Uttar Pradesh said, said he has written 'Sitaram' 25 lakh times. ""When I told my neighbour about the bank, he thought I must be crazy but I have strong belief. Whenever I do the writing, I feel my prayers are being heard,"" he said. PromotedListen to the latest songs, only on JioSaavn.com A new idol of Lord Ram was consecrated at the grand temple in a consecration ceremony on January 22 led by Prime Minister Narendra Modi. Lakhs of people watched the ""pran pratishtha (consecration)"" ceremony on television in their homes and neighbourhood temples, becoming part of the historic event held just months before the Lok Sabha elections. (This story has not been edited by NDTV staff and is auto-generated from a syndicated feed.) Track Latest News Live on NDTV.com and get news updates from India  and around the world.  Watch Live News: Follow Us: ................................ Advertisement ................................"
https://www.ndtv.com/india-news/2-bangladeshis-arrested-for-illegal-stay-in-maharashtra-had-indian-aadhaar-voter-id-5035887,"2 Bangladeshis Arrested For Illegal Stay In Maharashtra, Had Aadhaar, Indian Voter ID","Representational Image The police's Anti-Terrorism Squad (ATS) has arrested two Bangladeshi nationals from Maharashtra's Navi Mumbai township for allegedly staying in India illegally, an official said on Sunday. The two persons, both aged 24, were apprehended on Friday from Khidukpada village at Nadve in Panvel, the official from cyber police station said. An ATS team, during an inspection of the Khidukpada locality, found the two persons residing in a chawl (row tenement). During questioning, they failed to furnish any valid documents for their entry into the country, he said.  The two persons, however, possessed Aadhaar cards, voter ID cards and driving licenses in their names, the police said. A case was registered against them on Saturday under the Passport (Entry into India) Rules-1950 and the Foreigners Act. PromotedListen to the latest songs, only on JioSaavn.com The local police have initiated a probe into the matter to ascertain their activities and any potential links to illegal immigration networks, the official said.  (Except for the headline, this story has not been edited by NDTV staff and is published from a syndicated feed.) Track Latest News Live on NDTV.com and get news updates from India  and around the world.  Watch Live News: Follow Us: ................................ Advertisement ................................"
https://www.ndtv.com/india-news/farmers-protest-delhi-police-tractor-rehearsals-teargas-drills-delhi-cops-prep-for-farmers-protest-5035807,Delhi Cops' Farmers' Protest Drill Leaves Residents In Tears. Here's Why,"Delhi cops are holding drills to practise firing teargas shells Determined to prevent a repeat of the January 26, 2021 incident, in which protesting farmers clashed with cops on the capital's streets, Delhi Police is leaving no stone unturned in its preparations to stop farmers from entering the city on Tuesday. Delhi Police, sources said, is on high alert ahead of the farmers' march to the national capital. About 200 farmer organisations are part of the protest plan. They have several demands, including a law to guarantee Minimum Support Price and pension benefits. The capital's cops, sources said, are blocking the city's borders with Haryana by placing massive containers. Cranes have been deployed to move these barriers if farmers try to cross into Delhi. In fact, Haryana too has brought in cement barriers to ensure that the protesting farmers cannot enter Delhi.  The cops of Haryana and Punjab are reportedly using tractors to simulate the protest and practise how they will respond. A total of 40 such rehearsal using tractors -- 10 in Haryana, 30 in Punjab -- have been held so far. In Delhi, cops are holding drills to practise firing teargas shells if farmers refuse to stop. A video accessed by NDTV shows cops lining up and firing teargas shells in an open area in north Delhi. The exercise, meanwhile, has left local residents in discomfort. Many of them complained of burning sensation in their eyes after the drill. ""I feel a burning sensation in my eye and nose. It seems my eyes and nose have got blocked,"" a local resident told news agency ANI. Intelligence inputs say as many as 20,000 farmers with 2,000 tractors may try to enter Delhi day after tomorrow. These farmers are from Punjab, Haryana, Rajasthan, Uttar Pradesh, Kerala and Karnataka. The cops fear ant-social elements can enter the agitation and disrupt law and order. The cops have also factored in that farmers may use cars, two-wheelers, Metro or buses to hoodwink police. Some farmers, they said, may also come beforehand and gather outside the homes of VIPs such as the Prime Minister, ministers and BJP leaders. Women and children, sources said, may also be involved in the protests. PromotedListen to the latest songs, only on JioSaavn.com Delhi Police is also keeping a close watch on social media in the run-up to the protest. The foolproof preparations must be seen against the backdrop of the shocking sights on Delhi roads during the 2020-21 farmers' agitation against three central laws. On January 26, 2021, farmers had entered Delhi and a section of the protesters had turned violent. Some of them had also reached Red Fort and hoisted farmer unions' flag from its ramparts. Hundreds were injured and over 30 police vehicles damaged as farmers clashed with cops.    Haryana, too, has geared up to stop the farmers at Delhi borders. Cement barriers, barbed wires and sandbags are in place. Water cannons and drones have also been pressed into action. As many as 50 paramilitary companies have been called in to block the farmers. Track Latest News Live on NDTV.com and get news updates from India  and around the world.  Watch Live News: Follow Us: ................................ Advertisement ................................"
https://www.ndtv.com/india-news/no-compromise-over-ram-acharya-krishnam-after-congress-expels-him-5035687,"""No Compromise On Ram"": Acharya Krishnam After Expulsion From Congress","Of late, he had been criticising some of the decisions of the Congress leadership. Acharya Pramod Krishnam, a spiritual leader, hit back at Congress a day after getting expelled over ""indiscipline"" and for making repeated statements against the party. Tagging Congress leader Rahul Gandhi in a post on X (formerly Twitter), Acharya Krishnam said, ""There cannot be a compromise over Ram and Rashtra (nation).  राम और “राष्ट्र”पर “समझौता” नहीं किया जा सकता. @RahulGandhi Acharya Krishnam, who had contested the 2019 Lok Sabha polls from Lucknow on a Congress ticket but lost, had recently praised Prime Minister Narendra Modi for the Ram temple consecration ceremony in Ayodhya and criticised the Congress' stance of its leadership skipping the event.  ""In view of complaints about indiscipline and repeatedly making statements against the party, Congress president has approved the Uttar Pradesh Congress Committee's proposal to expel Shri Pramod Krishnam for six years with immediate effect,"" a statement issued by Congress general secretary (organisation) K C Venugopal said. PromotedListen to the latest songs, only on JioSaavn.com He also met Prime Minister Modi earlier this month and invited him to the foundation stone laying ceremony of Shri Kalki Dham in Uttar Pradesh's Sambhal on February 19. Of late, he had been criticising some of the decisions of the Congress leadership, including that of not participating in the Ram temple consecration ceremony in Ayodhya on January 22. Track Latest News Live on NDTV.com and get news updates from India  and around the world.  Watch Live News: Follow Us: ................................ Advertisement ................................"
https://www.ndtv.com/mumbai-news/anonymous-mail-threatens-to-blow-up-us-consulate-in-mumbai-case-filed-5035656,"Anonymous Mail Threatens To Blow Up US Consulate In Mumbai, Case Filed","The US Consulate General is located in Bandra Kurla Complex Bandra Kurla Police registered a case against an unknown person on Saturday for allegedly sending a threat email to the office of the US consulate general in Mumbai. According to Mumbai Police, the email was received from the address rkgtrading777@gamil.com around 3.50 am on Saturday. Officers at the Bandra-Kurla police station said a case was registered against an unknown person under sections 505(1)(b) and 506(2) of the Indian Penal Code (IPC), adding that further investigation was underway.  In the email, the unknown sender identified himself as an absconding US citizen, the police informed, adding that the accused threatened to blow up the American consulate and kill all US citizens working there. PromotedListen to the latest songs, only on JioSaavn.com Further details are awaited. (Except for the headline, this story has not been edited by NDTV staff and is published from a syndicated feed.) Track Latest News Live on NDTV.com and get news updates from India  and around the world.  Watch Live News: Follow Us: ................................ Advertisement ................................"
https://www.ndtv.com/india-news/india-to-soon-launch-gps-based-toll-collection-heres-how-it-will-work-5035582,India To Soon Launch GPS-Based Toll Collection: Here's How It Will Work,"The device monitors your movements while driving Those pesky toll plazas that interrupt smooth drives may be on their way out. Union minister Nitin Gadkari announced that GPS-based toll collection systems will replace existing highway toll plazas in the country. Road, Transport and Highways minister announced that transition will occur as early as April this year. The government has appointed a consultant to implement a GPS-based toll collection system on national highways, the minister said on Thursday.  The Road Transport and Highways Minister also said the system will be introduced on a pilot basis in addition to FASTags. The move is aimed at reducing traffic congestion and charging motorists for the exact distance travelled on the highways.  Mr Gadkari had earlier said state-owned NHAI's toll revenue is currently Rs 40,000 crore and it is going to soar to Rs 1.40 lakh crore in 2-3 years.  ""The government is looking at new technologies including GPS-based toll systems to replace toll plazas in the country...We will bring new technology in six months,"" he said. During 2018-19, the average waiting time for vehicles at toll plaza was 8 minutes. With the introduction of FASTags during 2020-21 and 2021-22, the average waiting time of the vehicles was reduced to 47 seconds. Since 2021, FASTags became mandatory for all vehicles to pay tolls on highways. Vehicles without FASTags are required to pay double the toll fee as a fine.  Although there is considerable improvement in waiting time at certain locations, especially near cities, in densely-populated towns, there are still some delays at toll plazas during peak hours. The GPS-based electronic toll collection system will use an automatic number plate recognition (ANPR) system through cameras installed on highways and deduct tolls based on the distance travelled by a vehicle. At present, FASTags uses RFID-based toll collection at plazas.  PromotedListen to the latest songs, only on JioSaavn.com The device monitors your movements while driving, accurately marking your entry and exit points on tolled segments. By analyzing your travel distance, it identifies the toll plazas you've passed through and computes the charges accordingly. This eliminates the uniformity of fixed tolls at booths, ensuring fairness for drivers traversing shorter distances. Furthermore, drivers on the road are relieved from concerns about handling cash, waiting for change, or checking their FASTag account balance. The toll fee is automatically deducted from your linked account using a secure electronic payment system. This process also eradicates human errors and the possibility of toll evasion. Track Latest News Live on NDTV.com and get news updates from India  and around the world.  Watch Live News: Follow Us: ................................ Advertisement ................................"
https://www.ndtv.com/india-news/as-up-legislators-visit-ayodhya-a-notable-omission-in-lord-rams-entourage-5035575,"As UP Legislators Visit Ayodhya, A Notable Omission In Lord Ram's Entourage","Several Uttar Pradesh legislators will today visit the temple and Ayodhya, but Lord Ram's entourage will have a notable omission: Samajwadi Party. SP chief Akhilesh Yadav declined Chief Minister Yogi Adityanath's invitation to visit the holy site today. ""We will go only when Lord Shri Ram calls us,"" Mr Yadav said in the Uttar Pradesh assembly on Saturday.   Ten luxury buses, carrying cabinet ministers and members of the legislature, departed for Ayodhya from Lucknow at 8 am today. With the exception of Samajwadi leaders, most legislators are part of the journey.  An official statement said that Adityanath will reach Ayodhya airport directly on Sunday. After this, he and his cabinet ministers will go for a darshan of Ram Lalla at the Ayodhya temple. PromotedListen to the latest songs, only on JioSaavn.com Currently, there are 400 MLAs in the state assembly while there are 100 members in the Legislative Council. It was unclear exactly how many members are going to Ayodhya. BJP has 252 MLAs in the assembly, its ally Apna Dal (Sonelal) has 13, NNishad party has six and Suheldev Bharatiya Samaj Party (SBSP) has six. Nishad and SBSP are constituents of the ruling National Democratic Alliance. Track Latest News Live on NDTV.com and get news updates from India  and around the world.  Watch Live News: Follow Us: ................................ Advertisement ................................"
https://www.ndtv.com/india-news/3-dead-16-injured-as-speeding-truck-drives-into-crowd-at-sikkim-fair-5035501,"3 Dead, 16 Injured As Speeding Truck Drives Into Crowd At Sikkim Fair","Police said the driver of the tanker has been arrested (Representational) Three persons were killed and 16 injured when a speeding milk tanker ploughed into a crowd at Ranipool in Gangtok district, police said on Sunday. A crowd had gathered at the mela ground Ranipool, about 11 km from here, to play tombola when the speeding milk tanker ploughed into them around 7.30 pm on Saturday, the police said. The driver of the tanker has been arrested, they said. All the injured persons were rushed to Central Referral Hospital where doctors declared two persons were brought dead and one succumbed to injuries at the hospital, they said.  Doctors at the hospital said the condition of the five of the injured was ""serious"". Sikkim Chief Minister Prem Sing Tamang said he was deeply saddened by the tragic accident that occurred in Ranipool. He announced a compensation of Rs 5 lakh to the next of kin of those who died in the tragic accident. PromotedListen to the latest songs, only on JioSaavn.com ""We are committed to providing every possible support during this difficult time. My thoughts are with the injured and their families, and I sincerely pray for their swift recovery. I also extend my deepest condolences to the families of those who lost their lives in this tragedy, and I pray for the departed souls to rest in eternal peace"", the CM said in a post on Facebook.  (Except for the headline, this story has not been edited by NDTV staff and is published from a syndicated feed.) Track Latest News Live on NDTV.com and get news updates from India  and around the world.  Watch Live News: Follow Us: ................................ Advertisement ................................"
